trial,word_number,text,fixprop
1.1,0,The,0.1
1.1,1,name,0.3
1.1,2,of,0.1
1.1,3,the,0.1
1.1,4,school,0.8
1.1,5,mentioned,0.8
1.1,6,in,0.2
1.1,7,the,0.7
1.1,8,image,0.7
1.1,9,is,0.3
1.1,10,Witch,0.9
1.1,11,School.,0.7
1.2,0,The,0.3
1.2,1,image,0.7
1.2,2,shows,0.6
1.2,3,a,0.4
1.2,4,book,0.4
1.2,5,called,0.6
1.2,6,"""Witch",0.8
1.2,7,"School""",0.6
1.2,8,with,0.6
1.2,9,an,0.7
1.2,10,old,0.7
1.2,11,witch's,0.9
1.2,12,hat,0.6
1.2,13,on,0.7
1.2,14,it.,0.4
1.2,15,It,0.3
1.2,16,has,0.5
1.2,17,been,0.6
1.2,18,written,0.9
1.2,19,by,0.5
1.2,20,a,0.1
1.2,21,person,0.8
1.2,22,named,1.0
1.2,23,"""J.""",0.7
1.2,24,and,0.7
1.2,25,appears,0.9
1.2,26,to,0.4
1.2,27,be,0.2
1.2,28,published,1.0
1.2,29,by,0.4
1.2,30,a,0.0
1.2,31,company,0.8
1.2,32,known,0.9
1.2,33,as,0.3
1.2,34,"""The",0.2
1.2,35,Witches',1.0
1.2,36,Hat,0.6
1.2,37,"Company,""",0.9
1.2,38,which,0.6
1.2,39,may,0.5
1.2,40,have,0.6
1.2,41,multiple,0.7
1.2,42,titles,0.5
1.2,43,under,0.8
1.2,44,that,0.6
1.2,45,name.,0.3
2.1,0,The,0.0
2.1,1,image,0.6
2.1,2,shows,0.8
2.1,3,a,0.2
2.1,4,street,0.9
2.1,5,scene,0.6
2.1,6,with,0.6
2.1,7,traffic,0.8
2.1,8,signs,0.6
2.1,9,in,0.3
2.1,10,the,0.3
2.1,11,"foreground,",0.9
2.1,12,but,0.5
2.1,13,there,0.6
2.1,14,is,0.2
2.1,15,no,0.2
2.1,16,visible,0.9
2.1,17,purple,0.7
2.1,18,umbrella,0.9
2.1,19,near,0.4
2.1,20,any,0.3
2.1,21,green,0.6
2.1,22,leaves.,0.7
2.1,23,It,0.1
2.1,24,might,0.8
2.1,25,not,0.5
2.1,26,be,0.5
2.1,27,included,0.7
2.1,28,in,0.2
2.1,29,the,0.3
2.1,30,frame,0.6
2.1,31,of,0.3
2.1,32,this,0.4
2.1,33,picture,0.8
2.1,34,or,0.0
2.1,35,it,0.1
2.1,36,might,0.9
2.1,37,be,0.3
2.1,38,obscured,0.7
2.1,39,from,0.4
2.1,40,view.,0.7
2.2,0,"Yes,",0.5
2.2,1,there,0.9
2.2,2,is,0.4
2.2,3,a,0.3
2.2,4,purple,0.4
2.2,5,umbrella,0.9
2.2,6,near,0.4
2.2,7,the,0.3
2.2,8,green,0.7
2.2,9,leaves,0.8
2.2,10,in,0.3
2.2,11,the,0.1
2.2,12,image.,0.8
2.2,13,It,0.3
2.2,14,appears,0.8
2.2,15,to,0.1
2.2,16,be,0.4
2.2,17,left,0.5
2.2,18,behind,0.9
2.2,19,by,0.1
2.2,20,"someone,",0.8
2.2,21,possibly,0.7
2.2,22,a,0.2
2.2,23,pedestrian,0.5
2.2,24,who,0.5
2.2,25,forgot,0.7
2.2,26,it,0.2
2.2,27,while,0.5
2.2,28,walking,0.6
2.2,29,by.,0.0
3.1,0,The,0.1
3.1,1,quote,0.8
3.1,2,on,0.3
3.1,3,the,0.6
3.1,4,image,0.6
3.1,5,suggests,0.8
3.1,6,that,0.3
3.1,7,"peace,",0.8
3.1,8,"poetry,",0.9
3.1,9,and,0.3
3.1,10,power,0.9
3.1,11,are,0.4
3.1,12,important,0.8
3.1,13,aspects,0.9
3.1,14,of,0.6
3.1,15,life.,0.7
3.1,16,It,0.2
3.1,17,encourages,0.9
3.1,18,people,0.9
3.1,19,to,0.3
3.1,20,appreciate,1.0
3.1,21,these,0.7
3.1,22,qualities,0.9
3.1,23,and,0.4
3.1,24,strive,0.8
3.1,25,to,0.3
3.1,26,incorporate,0.9
3.1,27,them,0.6
3.1,28,into,0.5
3.1,29,their,0.6
3.1,30,daily,0.7
3.1,31,lives.,0.9
3.1,32,The,0.3
3.1,33,image,0.7
3.1,34,features,0.8
3.1,35,a,0.1
3.1,36,clock,0.9
3.1,37,with,0.7
3.1,38,a,0.3
3.1,39,rose,0.8
3.1,40,and,0.4
3.1,41,a,0.0
3.1,42,"quote,",0.9
3.1,43,which,0.6
3.1,44,can,0.5
3.1,45,be,0.3
3.1,46,interpreted,0.9
3.1,47,as,0.2
3.1,48,a,0.4
3.1,49,reminder,0.8
3.1,50,to,0.2
3.1,51,find,0.6
3.1,52,balance,0.9
3.1,53,between,0.7
3.1,54,the,0.7
3.1,55,passage,0.8
3.1,56,of,0.4
3.1,57,time,0.4
3.1,58,and,0.5
3.1,59,the,0.4
3.1,60,beauty,0.7
3.1,61,of,0.4
3.1,62,life.,0.1
3.1,63,The,0.6
3.1,64,rose,0.7
3.1,65,symbolizes,1.0
3.1,66,love,0.5
3.1,67,and,0.7
3.1,68,"appreciation,",1.0
3.1,69,while,1.0
3.1,70,the,0.1
3.1,71,clock,0.6
3.1,72,represents,0.8
3.1,73,the,0.4
3.1,74,importance,0.9
3.1,75,of,0.3
3.1,76,time,0.5
3.1,77,and,0.4
3.1,78,its,0.2
3.1,79,value,0.6
3.1,80,in,0.2
3.1,81,our,0.3
3.1,82,lives.,0.6
3.1,83,The,0.6
3.1,84,combination,0.9
3.1,85,of,0.3
3.1,86,these,0.7
3.1,87,elements,0.8
3.1,88,in,0.3
3.1,89,the,0.3
3.1,90,image,0.7
3.1,91,serves,0.8
3.1,92,as,0.3
3.1,93,a,0.1
3.1,94,reminder,0.8
3.1,95,to,0.3
3.1,96,cherish,0.6
3.1,97,the,0.3
3.1,98,moments,0.8
3.1,99,and,0.1
3.1,100,make,0.4
3.1,101,the,0.3
3.1,102,most,0.3
3.1,103,of,0.2
3.1,104,our,0.2
3.1,105,time,0.5
3.1,106,on,0.6
3.1,107,earth.,0.4
3.2,0,The,0.2
3.2,1,quote,0.9
3.2,2,on,0.3
3.2,3,the,0.5
3.2,4,"image,",0.8
3.2,5,"""Peace,",0.9
3.2,6,"Poetry,",0.7
3.2,7,and,0.4
3.2,8,"Power,""",0.5
3.2,9,suggests,0.8
3.2,10,that,0.3
3.2,11,the,0.7
3.2,12,person,0.6
3.2,13,who,0.5
3.2,14,created,0.9
3.2,15,the,0.3
3.2,16,image,0.8
3.2,17,values,0.7
3.2,18,"peace,",1.0
3.2,19,"poetry,",1.0
3.2,20,and,0.4
3.2,21,power,0.8
3.2,22,in,0.1
3.2,23,their,0.6
3.2,24,life.,0.4
3.2,25,It,0.4
3.2,26,could,0.9
3.2,27,be,0.5
3.2,28,a,0.1
3.2,29,personal,1.0
3.2,30,mantra,0.9
3.2,31,or,0.3
3.2,32,a,0.1
3.2,33,statement,1.0
3.2,34,expressing,0.9
3.2,35,their,0.8
3.2,36,beliefs,0.7
3.2,37,and,0.4
3.2,38,aspirations.,0.6
4.1,0,The,0.4
4.1,1,image,0.7
4.1,2,is,0.2
4.1,3,a,0.2
4.1,4,compilation,0.9
4.1,5,of,0.2
4.1,6,four,0.8
4.1,7,"photos,",0.9
4.1,8,each,0.6
4.1,9,depicting,0.9
4.1,10,a,0.2
4.1,11,man,0.7
4.1,12,performing,0.8
4.1,13,a,0.1
4.1,14,trick,0.8
4.1,15,on,0.5
4.1,16,a,0.1
4.1,17,skateboard.,0.9
4.1,18,The,0.7
4.1,19,man,0.6
4.1,20,is,0.3
4.1,21,wearing,1.0
4.1,22,a,0.2
4.1,23,black,0.8
4.1,24,shirt,0.7
4.1,25,and,0.4
4.1,26,jeans,0.7
4.1,27,throughout,0.8
4.1,28,the,0.6
4.1,29,sequence.,0.9
4.1,30,In,0.1
4.1,31,the,0.8
4.1,32,first,0.8
4.1,33,"photo,",0.6
4.1,34,the,0.4
4.1,35,man,0.7
4.1,36,is,0.2
4.1,37,at,0.4
4.1,38,the,0.7
4.1,39,top,0.6
4.1,40,of,0.1
4.1,41,a,0.3
4.1,42,"ramp,",0.7
4.1,43,preparing,0.9
4.1,44,to,0.3
4.1,45,drop,0.8
4.1,46,in,0.3
4.1,47,and,0.5
4.1,48,ride,0.2
4.1,49,his,0.5
4.1,50,skateboard,0.7
4.1,51,down,0.5
4.1,52,the,0.4
4.1,53,ramp.,0.4
4.1,54,The,0.4
4.1,55,following,0.8
4.1,56,three,0.5
4.1,57,photos,0.7
4.1,58,show,0.8
4.1,59,him,0.2
4.1,60,in,0.2
4.1,61,"mid-air,",0.7
4.1,62,executing,0.7
4.1,63,a,0.2
4.1,64,trick,0.8
4.1,65,that,0.5
4.1,66,involves,0.6
4.1,67,jumping,0.6
4.1,68,over,0.2
4.1,69,a,0.3
4.1,70,ledge.,0.8
4.1,71,The,0.4
4.1,72,sequence,0.8
4.1,73,captures,0.8
4.1,74,the,0.4
4.1,75,motion,0.8
4.1,76,and,0.3
4.1,77,excitement,0.7
4.1,78,of,0.2
4.1,79,the,0.3
4.1,80,skateboarder's,0.7
4.1,81,performance.,0.7
4.2,0,The,0.3
4.2,1,image,0.8
4.2,2,is,0.2
4.2,3,a,0.2
4.2,4,collage,0.9
4.2,5,of,0.4
4.2,6,six,0.5
4.2,7,different,0.9
4.2,8,shots,0.7
4.2,9,featuring,0.7
4.2,10,a,0.1
4.2,11,skateboarder,0.8
4.2,12,performing,0.8
4.2,13,various,0.6
4.2,14,tricks,0.8
4.2,15,on,0.2
4.2,16,a,0.1
4.2,17,skateboard.,0.8
4.2,18,The,0.2
4.2,19,skateboarder,0.9
4.2,20,is,0.1
4.2,21,captured,0.9
4.2,22,in,0.1
4.2,23,different,0.9
4.2,24,positions,0.9
4.2,25,and,0.1
4.2,26,stages,0.9
4.2,27,of,0.2
4.2,28,the,0.5
4.2,29,"tricks,",0.7
4.2,30,showcasing,0.8
4.2,31,their,0.5
4.2,32,skills,0.4
4.2,33,and,0.5
4.2,34,the,0.5
4.2,35,progression,0.8
4.2,36,of,0.1
4.2,37,the,0.6
4.2,38,stunts.,0.7
4.2,39,In,0.3
4.2,40,each,0.5
4.2,41,of,0.5
4.2,42,the,0.5
4.2,43,six,0.6
4.2,44,"shots,",0.7
4.2,45,the,0.3
4.2,46,skateboarder,0.9
4.2,47,is,0.3
4.2,48,wearing,0.9
4.2,49,a,0.1
4.2,50,black,0.9
4.2,51,"shirt,",0.7
4.2,52,and,0.3
4.2,53,the,0.5
4.2,54,skateboard,0.9
4.2,55,is,0.2
4.2,56,visible,0.7
4.2,57,in,0.2
4.2,58,various,0.7
4.2,59,positions,0.9
4.2,60,throughout,0.8
4.2,61,the,0.4
4.2,62,collage.,0.6
4.2,63,The,0.7
4.2,64,skateboarder,0.9
4.2,65,is,0.2
4.2,66,captured,0.9
4.2,67,in,0.3
4.2,68,different,0.6
4.2,69,stages,0.7
4.2,70,of,0.4
4.2,71,the,0.6
4.2,72,"tricks,",0.7
4.2,73,from,0.5
4.2,74,the,0.1
4.2,75,initial,0.7
4.2,76,approach,0.8
4.2,77,to,0.2
4.2,78,the,0.4
4.2,79,peak,0.5
4.2,80,of,0.1
4.2,81,the,0.4
4.2,82,stunt,0.3
4.2,83,and,0.5
4.2,84,the,0.2
4.2,85,landing.,0.7
4.2,86,The,0.0
4.2,87,collage,0.9
4.2,88,captures,0.6
4.2,89,the,0.4
4.2,90,essence,0.5
4.2,91,of,0.2
4.2,92,the,0.2
4.2,93,skateboarder's,0.8
4.2,94,performance,0.9
4.2,95,and,0.1
4.2,96,the,0.3
4.2,97,excitement,0.8
4.2,98,of,0.4
4.2,99,the,0.2
4.2,100,sport.,0.8
5.1,0,The,0.1
5.1,1,image,0.6
5.1,2,features,0.8
5.1,3,a,0.2
5.1,4,man,0.5
5.1,5,and,0.5
5.1,6,a,0.2
5.1,7,young,0.8
5.1,8,boy,0.4
5.1,9,sitting,0.9
5.1,10,at,0.4
5.1,11,a,0.3
5.1,12,"table,",0.6
5.1,13,enjoying,0.8
5.1,14,a,0.0
5.1,15,meal,0.7
5.1,16,together.,0.8
5.1,17,The,0.4
5.1,18,man,0.7
5.1,19,is,0.2
5.1,20,holding,0.7
5.1,21,a,0.0
5.1,22,"doughnut,",1.0
5.1,23,while,0.7
5.1,24,the,0.5
5.1,25,boy,0.9
5.1,26,is,0.1
5.1,27,holding,1.0
5.1,28,a,0.1
5.1,29,bagel.,0.9
5.1,30,They,0.8
5.1,31,are,0.5
5.1,32,both,0.7
5.1,33,sitting,0.9
5.1,34,at,0.5
5.1,35,the,0.4
5.1,36,"table,",0.7
5.1,37,surrounded,1.0
5.1,38,by,0.1
5.1,39,various,1.0
5.1,40,food,0.5
5.1,41,"items,",0.6
5.1,42,including,0.9
5.1,43,a,0.1
5.1,44,plate,0.8
5.1,45,of,0.5
5.1,46,"doughnuts,",0.8
5.1,47,a,0.0
5.1,48,"bagel,",0.8
5.1,49,and,0.2
5.1,50,a,0.4
5.1,51,cup,0.8
5.1,52,of,0.3
5.1,53,coffee.,0.8
5.1,54,There,0.8
5.1,55,are,0.3
5.1,56,also,0.9
5.1,57,a,0.4
5.1,58,few,0.6
5.1,59,other,0.9
5.1,60,doughnuts,0.9
5.1,61,scattered,0.8
5.1,62,around,0.7
5.1,63,the,0.3
5.1,64,"table,",0.6
5.1,65,indicating,0.9
5.1,66,that,0.3
5.1,67,they,0.7
5.1,68,are,0.4
5.1,69,part,0.3
5.1,70,of,0.6
5.1,71,the,0.3
5.1,72,meal.,0.7
5.1,73,The,0.6
5.1,74,scene,0.8
5.1,75,is,0.1
5.1,76,warm,0.8
5.1,77,and,0.5
5.1,78,"inviting,",0.8
5.1,79,showcasing,0.8
5.1,80,a,0.0
5.1,81,father,0.8
5.1,82,and,0.5
5.1,83,son,0.3
5.1,84,enjoying,0.8
5.1,85,a,0.2
5.1,86,casual,0.4
5.1,87,meal,0.4
5.1,88,together.,0.5
5.2,0,The,0.2
5.2,1,main,0.7
5.2,2,element,0.8
5.2,3,of,0.2
5.2,4,this,0.6
5.2,5,image,0.7
5.2,6,is,0.3
5.2,7,a,0.1
5.2,8,man,0.8
5.2,9,and,0.4
5.2,10,a,0.4
5.2,11,young,0.8
5.2,12,boy,0.4
5.2,13,sitting,0.9
5.2,14,at,0.3
5.2,15,a,0.1
5.2,16,"table,",1.0
5.2,17,enjoying,0.9
5.2,18,breakfast,1.0
5.2,19,together.,1.0
5.2,20,They,0.3
5.2,21,are,0.6
5.2,22,both,0.7
5.2,23,eating,0.9
5.2,24,doughnuts,0.9
5.2,25,with,0.7
5.2,26,sprinkles,1.0
5.2,27,on,0.2
5.2,28,them,0.7
5.2,29,while,0.7
5.2,30,they,0.8
5.2,31,enjoy,0.5
5.2,32,their,0.7
5.2,33,meal.,0.7
5.2,34,This,0.4
5.2,35,scene,1.0
5.2,36,suggests,1.0
5.2,37,that,0.3
5.2,38,they,0.5
5.2,39,might,0.4
5.2,40,be,0.3
5.2,41,spending,0.8
5.2,42,time,0.6
5.2,43,as,0.3
5.2,44,family,0.9
5.2,45,members,0.9
5.2,46,or,0.1
5.2,47,friends,0.7
5.2,48,who,0.5
5.2,49,share,0.9
5.2,50,common,0.8
5.2,51,interests,0.8
5.2,52,such,0.5
5.2,53,as,0.5
5.2,54,food.,0.5
6.1,0,"No,",0.1
6.1,1,the,0.7
6.1,2,artist,1.0
6.1,3,did,0.5
6.1,4,not,0.4
6.1,5,include,0.7
6.1,6,a,0.2
6.1,7,chicken,0.9
6.1,8,in,0.2
6.1,9,this,0.3
6.1,10,piece.,0.5
6.1,11,The,0.5
6.1,12,image,1.0
6.1,13,features,0.9
6.1,14,two,0.4
6.1,15,cows,0.8
6.1,16,standing,1.0
6.1,17,next,0.5
6.1,18,to,0.3
6.1,19,each,0.7
6.1,20,other,0.7
6.1,21,on,0.4
6.1,22,a,0.7
6.1,23,dirt,0.7
6.1,24,"road,",0.9
6.1,25,with,0.8
6.1,26,a,0.4
6.1,27,man,0.5
6.1,28,standing,0.9
6.1,29,behind,0.7
6.1,30,them.,0.5
6.1,31,There,0.7
6.1,32,are,0.5
6.1,33,no,0.4
6.1,34,chickens,0.9
6.1,35,in,0.3
6.1,36,the,0.2
6.1,37,scene.,0.9
6.1,38,The,0.2
6.1,39,focus,1.0
6.1,40,of,0.1
6.1,41,the,0.1
6.1,42,image,0.5
6.1,43,is,0.1
6.1,44,on,0.3
6.1,45,the,0.4
6.1,46,cows,0.4
6.1,47,and,0.3
6.1,48,the,0.7
6.1,49,"man,",0.6
6.1,50,and,0.3
6.1,51,it,0.3
6.1,52,does,0.4
6.1,53,not,0.5
6.1,54,include,0.7
6.1,55,any,0.0
6.1,56,other,0.5
6.1,57,animals.,0.7
6.2,0,"No,",0.0
6.2,1,there,0.8
6.2,2,is,0.5
6.2,3,no,0.2
6.2,4,chicken,0.9
6.2,5,in,0.3
6.2,6,this,0.4
6.2,7,image.,0.6
6.2,8,The,0.3
6.2,9,image,0.9
6.2,10,shows,0.3
6.2,11,a,0.6
6.2,12,street,0.8
6.2,13,scene,0.7
6.2,14,with,0.8
6.2,15,cows.,0.9
6.2,16,There,0.6
6.2,17,is,0.8
6.2,18,a,0.1
6.2,19,white,1.0
6.2,20,cow,0.3
6.2,21,with,0.4
6.2,22,a,0.6
6.2,23,bell,0.6
6.2,24,around,0.9
6.2,25,its,0.3
6.2,26,neck,0.6
6.2,27,looking,0.7
6.2,28,directly,0.7
6.2,29,at,0.2
6.2,30,the,0.4
6.2,31,"camera,",1.0
6.2,32,and,0.3
6.2,33,another,0.8
6.2,34,cow,0.4
6.2,35,in,0.5
6.2,36,front,0.7
6.2,37,of,0.3
6.2,38,it,0.2
6.2,39,seen,0.5
6.2,40,from,0.6
6.2,41,behind.,0.9
6.2,42,There,0.5
6.2,43,are,0.4
6.2,44,also,0.5
6.2,45,people,0.6
6.2,46,in,0.1
6.2,47,the,0.3
6.2,48,"background,",1.0
6.2,49,but,0.3
6.2,50,no,0.3
6.2,51,chickens,1.0
6.2,52,are,0.1
6.2,53,visible,0.8
6.2,54,in,0.0
6.2,55,the,0.3
6.2,56,photograph.,0.8
7.1,0,Jignesh,0.7
7.1,1,Jain,0.8
7.2,0,The,0.2
7.2,1,image,0.6
7.2,2,shows,0.7
7.2,3,two,0.5
7.2,4,people,0.7
7.2,5,holding,0.7
7.2,6,"hands,",0.7
7.2,7,one,0.6
7.2,8,person's,0.8
7.2,9,hand,0.6
7.2,10,on,0.3
7.2,11,top,0.7
7.2,12,of,0.2
7.2,13,another.,0.7
7.2,14,They,0.6
7.2,15,are,0.3
7.2,16,smiling,0.9
7.2,17,and,0.4
7.2,18,seem,0.6
7.2,19,to,0.4
7.2,20,be,0.7
7.2,21,at,0.4
7.2,22,peace,0.6
7.2,23,with,0.3
7.2,24,each,0.4
7.2,25,other.,0.4
7.2,26,This,0.4
7.2,27,is,0.4
7.2,28,a,0.3
7.2,29,beautiful,0.7
7.2,30,moment,0.5
7.2,31,that,0.1
7.2,32,depicts,0.8
7.2,33,love,0.3
7.2,34,between,0.7
7.2,35,two,0.3
7.2,36,individuals,0.6
7.2,37,who,0.3
7.2,38,have,0.4
7.2,39,been,0.4
7.2,40,together,0.5
7.2,41,for,0.3
7.2,42,some,0.3
7.2,43,time,0.2
7.2,44,or,0.2
7.2,45,even,0.7
7.2,46,forever.,0.6
8.1,0,The,0.2
8.1,1,prominent,0.8
8.1,2,objects,0.9
8.1,3,in,0.3
8.1,4,the,0.4
8.1,5,image,0.8
8.1,6,are,0.4
8.1,7,a,0.4
8.1,8,train,0.9
8.1,9,and,0.7
8.1,10,a,0.3
8.1,11,train,0.9
8.1,12,station.,0.7
8.1,13,The,0.3
8.1,14,train,1.0
8.1,15,is,0.5
8.1,16,traveling,1.0
8.1,17,down,0.7
8.1,18,the,0.8
8.1,19,"tracks,",0.9
8.1,20,and,0.3
8.1,21,the,0.6
8.1,22,train,0.6
8.1,23,station,0.8
8.1,24,is,0.4
8.1,25,situated,1.0
8.1,26,next,0.8
8.1,27,to,0.4
8.1,28,the,0.4
8.1,29,tracks.,0.8
8.2,0,The,0.2
8.2,1,prominent,0.8
8.2,2,objects,0.9
8.2,3,in,0.4
8.2,4,the,0.2
8.2,5,image,1.0
8.2,6,include,0.7
8.2,7,a,0.4
8.2,8,"train,",0.9
8.2,9,a,0.1
8.2,10,station,1.0
8.2,11,"platform,",1.0
8.2,12,and,0.4
8.2,13,a,0.4
8.2,14,train,1.0
8.2,15,station.,0.8
9.1,0,The,0.2
9.1,1,bedroom,0.9
9.1,2,in,0.2
9.1,3,the,0.4
9.1,4,image,1.0
9.1,5,has,0.3
9.1,6,a,0.3
9.1,7,modern,1.0
9.1,8,and,0.5
9.1,9,stylish,1.0
9.1,10,"appearance,",1.0
9.1,11,featuring,1.0
9.1,12,a,0.0
9.1,13,large,0.9
9.1,14,bed,0.5
9.1,15,with,0.8
9.1,16,white,0.7
9.1,17,pillows,0.8
9.1,18,and,0.5
9.1,19,a,0.1
9.1,20,white,0.8
9.1,21,comforter.,0.8
9.1,22,The,0.4
9.1,23,room,0.7
9.1,24,is,0.1
9.1,25,dimly,0.8
9.1,26,"lit,",0.3
9.1,27,creating,0.8
9.1,28,a,0.0
9.1,29,cozy,0.6
9.1,30,and,0.6
9.1,31,intimate,0.8
9.1,32,atmosphere.,0.8
9.1,33,The,0.5
