subject,n_prompt,first_response,second_response,model_preference,subject_preference,agreement_subject_model,question_order
Sub01,13,13.1,13.2,13.2,13.2,True,1
Sub01,30,30.1,30.2,30.1,30.1,True,2
Sub01,7,7.1,7.2,7.1,7.1,True,3
Sub01,18,18.1,18.2,18.2,18.1,False,4
Sub01,29,29.1,29.2,29.1,29.1,True,5
Sub01,2,2.1,2.2,2.2,2.1,False,6
Sub01,6,6.1,6.2,6.1,6.2,False,7
Sub01,22,22.1,22.2,22.2,22.2,True,8
Sub01,15,15.1,15.2,15.1,15.1,True,9
Sub01,8,8.2,8.1,8.2,8.1,False,10
Sub01,19,19.1,19.2,19.1,19.2,False,11
Sub01,12,12.1,12.2,12.1,12.1,True,12
Sub01,11,11.1,11.2,11.2,11.2,True,13
Sub01,27,27.2,27.1,27.1,27.1,True,14
Sub01,17,17.2,17.1,17.1,17.2,False,15
Sub01,24,24.1,24.2,24.2,24.2,True,16
Sub01,3,3.2,3.1,3.1,3.2,False,17
Sub01,25,25.2,25.1,25.2,25.2,True,18
Sub01,5,5.2,5.1,5.1,5.1,True,19
Sub01,23,23.1,23.2,23.2,23.2,True,20
Sub01,26,26.1,26.2,26.2,26.1,False,21
Sub01,16,16.2,16.1,16.1,16.1,True,22
Sub01,4,4.2,4.1,4.2,4.2,True,23
Sub01,9,9.1,9.2,9.2,9.2,True,24
Sub01,21,21.2,21.1,21.2,21.2,True,25
Sub01,10,10.1,10.2,10.1,10.2,False,26
Sub01,20,20.1,20.2,20.2,20.2,True,27
Sub01,14,14.2,14.1,14.1,14.1,True,28
Sub01,28,28.2,28.1,28.2,28.1,False,29
Sub01,1,1.1,1.2,1.1,1.1,True,30
Sub02,28,28.1,28.2,28.2,28.2,True,1
Sub02,2,2.1,2.2,2.2,2.1,False,2
Sub02,25,25.1,25.2,25.2,25.2,True,3
Sub02,3,3.1,3.2,3.1,3.1,True,4
Sub02,19,19.1,19.2,19.1,19.2,False,5
Sub02,18,18.2,18.1,18.2,18.2,True,6
Sub02,10,10.1,10.2,10.1,10.2,False,7
Sub02,29,29.1,29.2,29.1,29.2,False,8
Sub02,20,20.2,20.1,20.2,20.2,True,9
Sub02,23,23.2,23.1,23.2,23.2,True,10
Sub02,4,4.2,4.1,4.2,4.2,True,11
Sub02,6,6.2,6.1,6.1,6.2,False,12
Sub02,22,22.1,22.2,22.2,22.2,True,13
Sub02,11,11.2,11.1,11.2,11.1,False,14
Sub02,12,12.2,12.1,12.1,12.1,True,15
Sub02,8,8.1,8.2,8.2,8.1,False,16
Sub02,27,27.2,27.1,27.1,27.1,True,17
Sub02,24,24.2,24.1,24.2,24.1,False,18
Sub02,15,15.1,15.2,15.1,15.1,True,19
Sub02,16,16.2,16.1,16.1,16.1,True,20
Sub02,7,7.1,7.2,7.1,7.2,False,21
Sub02,5,5.2,5.1,5.1,5.1,True,22
Sub02,9,9.1,9.2,9.2,9.2,True,23
Sub02,26,26.2,26.1,26.2,26.1,False,24
Sub02,17,17.1,17.2,17.1,17.1,True,25
Sub02,14,14.1,14.2,14.1,14.2,False,26
Sub02,1,1.2,1.1,1.1,1.2,False,27
Sub02,13,13.1,13.2,13.2,13.2,True,28
Sub02,21,21.2,21.1,21.2,21.2,True,29
Sub02,30,30.2,30.1,30.1,30.2,False,30
Sub03,10,10.1,10.2,10.1,10.2,False,1
Sub03,11,11.2,11.1,11.2,11.1,False,2
Sub03,6,6.1,6.2,6.1,6.2,False,3
Sub03,16,16.1,16.2,16.1,16.2,False,4
Sub03,15,15.2,15.1,15.1,15.1,True,5
Sub03,28,28.2,28.1,28.2,28.1,False,6
Sub03,13,13.2,13.1,13.2,13.1,False,7
Sub03,5,5.2,5.1,5.1,5.1,True,8
Sub03,23,23.2,23.1,23.2,23.1,False,9
Sub03,27,27.1,27.2,27.1,27.2,False,10
Sub03,7,7.2,7.1,7.1,7.2,False,11
Sub03,2,2.1,2.2,2.2,2.1,False,12
Sub03,18,18.1,18.2,18.2,18.1,False,13
Sub03,12,12.2,12.1,12.1,12.1,True,14
Sub03,19,19.1,19.2,19.1,19.1,True,15
Sub03,24,24.2,24.1,24.2,24.1,False,16
Sub03,26,26.2,26.1,26.2,26.2,True,17
Sub03,1,1.2,1.1,1.1,1.2,False,18
Sub03,30,30.2,30.1,30.1,30.2,False,19
Sub03,21,21.2,21.1,21.2,21.2,True,20
Sub03,25,25.2,25.1,25.2,25.2,True,21
Sub03,4,4.1,4.2,4.2,4.1,False,22
Sub03,20,20.2,20.1,20.2,20.2,True,23
Sub03,14,14.1,14.2,14.1,14.2,False,24
Sub03,9,9.1,9.2,9.2,9.2,True,25
Sub03,22,22.1,22.2,22.2,22.2,True,26
Sub03,29,29.2,29.1,29.1,29.1,True,27
Sub03,8,8.2,8.1,8.2,8.2,True,28
Sub03,17,17.2,17.1,17.1,17.2,False,29
Sub03,3,3.2,3.1,3.1,3.1,True,30
Sub04,5,5.1,5.2,5.1,5.2,False,1
Sub04,25,25.2,25.1,25.2,25.2,True,2
Sub04,22,22.2,22.1,22.2,22.1,False,3
Sub04,3,3.1,3.2,3.1,3.2,False,4
Sub04,1,1.1,1.2,1.1,1.1,True,5
Sub04,19,19.1,19.2,19.1,19.1,True,6
Sub04,9,9.1,9.2,9.2,9.1,False,7
Sub04,30,30.1,30.2,30.1,30.1,True,8
Sub04,15,15.1,15.2,15.1,15.1,True,9
Sub04,23,23.1,23.2,23.2,23.1,False,10
Sub04,17,17.2,17.1,17.1,17.2,False,11
Sub04,13,13.1,13.2,13.2,13.2,True,12
Sub04,18,18.1,18.2,18.2,18.1,False,13
Sub04,2,2.2,2.1,2.2,2.2,True,14
Sub04,29,29.1,29.2,29.1,29.2,False,15
Sub04,12,12.2,12.1,12.1,12.2,False,16
Sub04,4,4.1,4.2,4.2,4.1,False,17
Sub04,16,16.1,16.2,16.1,16.2,False,18
Sub04,20,20.1,20.2,20.2,20.1,False,19
Sub04,27,27.2,27.1,27.1,27.1,True,20
Sub04,28,28.1,28.2,28.2,28.2,True,21
Sub04,10,10.2,10.1,10.1,10.2,False,22
Sub04,6,6.2,6.1,6.1,6.1,True,23
Sub04,11,11.2,11.1,11.2,11.1,False,24
Sub04,21,21.1,21.2,21.2,21.1,False,25
Sub04,26,26.2,26.1,26.2,26.1,False,26
Sub04,14,14.1,14.2,14.1,14.1,True,27
Sub04,7,7.2,7.1,7.1,7.2,False,28
Sub04,24,24.1,24.2,24.2,24.2,True,29
Sub04,8,8.2,8.1,8.2,8.1,False,30
Sub05,28,28.1,28.2,28.2,28.1,False,1
Sub05,1,1.1,1.2,1.1,1.1,True,2
Sub05,29,29.1,29.2,29.1,29.2,False,3
Sub05,4,4.2,4.1,4.2,4.2,True,4
Sub05,26,26.2,26.1,26.2,26.1,False,5
Sub05,2,2.2,2.1,2.2,2.2,True,6
Sub05,3,3.1,3.2,3.1,3.1,True,7
Sub05,16,16.2,16.1,16.1,16.1,True,8
Sub05,8,8.2,8.1,8.2,8.1,False,9
Sub05,30,30.1,30.2,30.1,30.1,True,10
Sub05,6,6.1,6.2,6.1,6.2,False,11
Sub05,19,19.1,19.2,19.1,19.1,True,12
Sub05,13,13.2,13.1,13.2,13.1,False,13
Sub05,7,7.1,7.2,7.1,7.1,True,14
Sub05,14,14.1,14.2,14.1,14.2,False,15
Sub05,22,22.1,22.2,22.2,22.2,True,16
Sub05,21,21.2,21.1,21.2,21.2,True,17
Sub05,23,23.2,23.1,23.2,23.1,False,18
Sub05,10,10.2,10.1,10.1,10.1,True,19
Sub05,20,20.2,20.1,20.2,20.2,True,20
Sub05,17,17.2,17.1,17.1,17.2,False,21
Sub05,5,5.2,5.1,5.1,5.1,True,22
Sub05,9,9.2,9.1,9.2,9.2,True,23
Sub05,11,11.2,11.1,11.2,11.1,False,24
Sub05,15,15.2,15.1,15.1,15.2,False,25
Sub05,27,27.2,27.1,27.1,27.1,True,26
Sub05,24,24.1,24.2,24.2,24.2,True,27
Sub05,25,25.1,25.2,25.2,25.1,False,28
Sub05,12,12.2,12.1,12.1,12.1,True,29
Sub05,18,18.2,18.1,18.2,18.2,True,30
Sub06,30,30.2,30.1,30.1,30.2,False,1
Sub06,22,22.1,22.2,22.2,22.2,True,2
Sub06,24,24.2,24.1,24.2,24.1,False,3
Sub06,7,7.1,7.2,7.1,7.1,True,4
Sub06,5,5.1,5.2,5.1,5.2,False,5
Sub06,21,21.1,21.2,21.2,21.1,False,6
Sub06,16,16.2,16.1,16.1,16.2,False,7
Sub06,18,18.1,18.2,18.2,18.1,False,8
Sub06,10,10.2,10.1,10.1,10.1,True,9
Sub06,9,9.2,9.1,9.2,9.2,True,10
Sub06,15,15.2,15.1,15.1,15.2,False,11
Sub06,23,23.2,23.1,23.2,23.1,False,12
Sub06,17,17.1,17.2,17.1,17.1,True,13
Sub06,19,19.1,19.2,19.1,19.1,True,14
Sub06,2,2.1,2.2,2.2,2.1,False,15
Sub06,13,13.1,13.2,13.2,13.2,True,16
Sub06,20,20.1,20.2,20.2,20.1,False,17
Sub06,4,4.2,4.1,4.2,4.2,True,18
Sub06,26,26.2,26.1,26.2,26.2,True,19
Sub06,25,25.2,25.1,25.2,25.2,True,20
Sub06,3,3.1,3.2,3.1,3.2,False,21
Sub06,14,14.1,14.2,14.1,14.2,False,22
Sub06,27,27.1,27.2,27.1,27.2,False,23
Sub06,28,28.2,28.1,28.2,28.1,False,24
Sub06,1,1.2,1.1,1.1,1.2,False,25
Sub06,29,29.2,29.1,29.1,29.1,True,26
Sub06,6,6.2,6.1,6.1,6.1,True,27
Sub06,8,8.2,8.1,8.2,8.1,False,28
Sub06,11,11.2,11.1,11.2,11.1,False,29
Sub06,12,12.2,12.1,12.1,12.2,False,30
Sub07,3,3.1,3.2,3.1,3.1,True,1
Sub07,26,26.1,26.2,26.2,26.1,False,2
Sub07,29,29.1,29.2,29.1,29.1,True,3
Sub07,7,7.2,7.1,7.1,7.2,False,4
Sub07,19,19.1,19.2,19.1,19.1,True,5
Sub07,1,1.1,1.2,1.1,1.1,True,6
Sub07,23,23.1,23.2,23.2,23.1,False,7
Sub07,30,30.1,30.2,30.1,30.1,True,8
Sub07,13,13.1,13.2,13.2,13.2,True,9
Sub07,8,8.1,8.2,8.2,8.1,False,10
Sub07,25,25.2,25.1,25.2,25.2,True,11
Sub07,2,2.2,2.1,2.2,2.2,True,12
Sub07,18,18.2,18.1,18.2,18.2,True,13
Sub07,4,4.2,4.1,4.2,4.2,True,14
Sub07,20,20.2,20.1,20.2,20.1,False,15
Sub07,15,15.1,15.2,15.1,15.1,True,16
Sub07,10,10.1,10.2,10.1,10.2,False,17
Sub07,14,14.1,14.2,14.1,14.2,False,18
Sub07,17,17.2,17.1,17.1,17.2,False,19
Sub07,9,9.1,9.2,9.2,9.1,False,20
Sub07,12,12.1,12.2,12.1,12.2,False,21
Sub07,16,16.2,16.1,16.1,16.1,True,22
Sub07,27,27.2,27.1,27.1,27.2,False,23
Sub07,21,21.1,21.2,21.2,21.1,False,24
Sub07,22,22.2,22.1,22.2,22.1,False,25
Sub07,11,11.2,11.1,11.2,11.1,False,26
Sub07,5,5.1,5.2,5.1,5.2,False,27
Sub07,28,28.1,28.2,28.2,28.2,True,28
Sub07,6,6.1,6.2,6.1,6.2,False,29
Sub07,24,24.1,24.2,24.2,24.2,True,30
Sub08,18,18.2,18.1,18.2,18.2,True,1
Sub08,8,8.2,8.1,8.2,8.1,False,2
Sub08,14,14.1,14.2,14.1,14.2,False,3
Sub08,9,9.1,9.2,9.2,9.1,False,4
Sub08,27,27.2,27.1,27.1,27.1,True,5
Sub08,17,17.1,17.2,17.1,17.1,True,6
Sub08,22,22.2,22.1,22.2,22.1,False,7
Sub08,4,4.1,4.2,4.2,4.1,False,8
Sub08,24,24.1,24.2,24.2,24.1,False,9
Sub08,20,20.2,20.1,20.2,20.2,True,10
Sub08,5,5.1,5.2,5.1,5.2,False,11
Sub08,10,10.2,10.1,10.1,10.1,True,12
Sub08,13,13.2,13.1,13.2,13.1,False,13
Sub08,21,21.2,21.1,21.2,21.1,False,14
Sub08,12,12.1,12.2,12.1,12.2,False,15
Sub08,29,29.2,29.1,29.1,29.1,True,16
Sub08,3,3.1,3.2,3.1,3.1,True,17
Sub08,2,2.1,2.2,2.2,2.1,False,18
Sub08,1,1.1,1.2,1.1,1.2,False,19
Sub08,26,26.2,26.1,26.2,26.1,False,20
Sub08,19,19.1,19.2,19.1,19.1,True,21
Sub08,16,16.2,16.1,16.1,16.2,False,22
Sub08,15,15.2,15.1,15.1,15.2,False,23
Sub08,11,11.1,11.2,11.2,11.2,True,24
Sub08,7,7.1,7.2,7.1,7.1,True,25
Sub08,28,28.2,28.1,28.2,28.1,False,26
Sub08,6,6.1,6.2,6.1,6.2,False,27
Sub08,30,30.2,30.1,30.1,30.2,False,28
Sub08,23,23.1,23.2,23.2,23.2,True,29
Sub08,25,25.1,25.2,25.2,25.1,False,30
Sub09,4,4.1,4.2,4.2,4.2,True,1
Sub09,10,10.2,10.1,10.1,10.2,False,2
Sub09,1,1.2,1.1,1.1,1.2,False,3
Sub09,17,17.2,17.1,17.1,17.2,False,4
Sub09,13,13.1,13.2,13.2,13.2,True,5
Sub09,28,28.2,28.1,28.2,28.1,False,6
Sub09,5,5.1,5.2,5.1,5.2,False,7
Sub09,30,30.1,30.2,30.1,30.1,True,8
Sub09,27,27.2,27.1,27.1,27.2,False,9
Sub09,20,20.1,20.2,20.2,20.2,True,10
Sub09,26,26.1,26.2,26.2,26.1,False,11
Sub09,2,2.1,2.2,2.2,2.1,False,12
Sub09,23,23.1,23.2,23.2,23.2,True,13
Sub09,11,11.2,11.1,11.2,11.2,True,14
Sub09,3,3.1,3.2,3.1,3.2,False,15
Sub09,16,16.1,16.2,16.1,16.2,False,16
Sub09,9,9.1,9.2,9.2,9.2,True,17
Sub09,21,21.2,21.1,21.2,21.1,False,18
Sub09,18,18.2,18.1,18.2,18.2,True,19
Sub09,25,25.2,25.1,25.2,25.2,True,20
Sub09,15,15.1,15.2,15.1,15.1,True,21
Sub09,7,7.2,7.1,7.1,7.2,False,22
Sub09,8,8.2,8.1,8.2,8.2,True,23
Sub09,12,12.1,12.2,12.1,12.2,False,24
Sub09,24,24.1,24.2,24.2,24.2,True,25
Sub09,6,6.1,6.2,6.1,6.2,False,26
Sub09,14,14.2,14.1,14.1,14.1,True,27
Sub09,29,29.2,29.1,29.1,29.1,True,28
Sub09,19,19.1,19.2,19.1,19.1,True,29
Sub09,22,22.2,22.1,22.2,22.1,False,30
Sub10,26,26.2,26.1,26.2,26.2,True,1
Sub10,21,21.2,21.1,21.2,21.2,True,2
Sub10,9,9.2,9.1,9.2,9.1,False,3
Sub10,4,4.2,4.1,4.2,4.2,True,4
Sub10,23,23.1,23.2,23.2,23.2,True,5
Sub10,20,20.2,20.1,20.2,20.2,True,6
Sub10,5,5.1,5.2,5.1,5.2,False,7
Sub10,24,24.1,24.2,24.2,24.2,True,8
Sub10,29,29.2,29.1,29.1,29.1,True,9
Sub10,30,30.1,30.2,30.1,30.1,True,10
Sub10,19,19.2,19.1,19.1,19.2,False,11
Sub10,3,3.1,3.2,3.1,3.1,True,12
Sub10,28,28.2,28.1,28.2,28.1,False,13
Sub10,12,12.2,12.1,12.1,12.2,False,14
Sub10,25,25.1,25.2,25.2,25.1,False,15
Sub10,15,15.2,15.1,15.1,15.2,False,16
Sub10,6,6.2,6.1,6.1,6.1,True,17
Sub10,13,13.1,13.2,13.2,13.2,True,18
Sub10,11,11.1,11.2,11.2,11.1,False,19
Sub10,22,22.1,22.2,22.2,22.2,True,20
Sub10,18,18.1,18.2,18.2,18.1,False,21
Sub10,14,14.1,14.2,14.1,14.1,True,22
Sub10,16,16.1,16.2,16.1,16.2,False,23
Sub10,1,1.1,1.2,1.1,1.1,True,24
Sub10,10,10.2,10.1,10.1,10.1,True,25
Sub10,7,7.2,7.1,7.1,7.2,False,26
Sub10,17,17.1,17.2,17.1,17.1,True,27
Sub10,2,2.1,2.2,2.2,2.1,False,28
Sub10,27,27.1,27.2,27.1,27.2,False,29
Sub10,8,8.2,8.1,8.2,8.1,False,30
