Group,SC_mean,SC_std,SE_mean,SE_std
Human,39.084901130655474,39.658796062839606,16.403228759765625,0.7684364318847656
Visalformer,0.2537215993349374,0.11809429533429877,17.14076042175293,0.635405957698822
MDSEM-500,32.16249537667433,32.86818300860727,15.613290786743164,0.6440624594688416
MDSEM-3000,30.224297558481364,31.187596578251753,16.004894256591797,0.5995768308639526
MDSEM-5000,30.459680417577417,31.301467571529194,16.134428024291992,0.5936088562011719
LLaVA-7B-mean,48.33109637088399,49.45763291140585,17.3127007413727,0.6253341563301994
LLaVA-7B-max,53.345747407878505,54.36140557251974,17.337323295174535,0.629863837842664
LLaVA-13B-mean,43.22035341766475,44.46763693434476,17.01093996249212,0.5255731260503999
LLaVA-13B-max,45.956941716643584,47.62609896747854,17.213584535261173,0.568635051481069
